ID,Longitude,Latitude,Label,Description,Type,Floor
283,-79.24586131,43.11989093,,,S,0
284,-79.24672354,43.12034715,M,,B,3
285,-79.24834399,43.11981381,A300,,R,3
286,-79.24837311,43.11977608,A302,,R,3
287,-79.24845935,43.11962266,A304,,R,3
288,-79.24842548,43.1196225,A306,,R,3
289,-79.24845619,43.11961574,A305,,R,3
290,-79.24843926,43.11961492,A307,,R,3
291,-79.24834421,43.11961936,A310,,R,3
292,-79.24818173,43.11962647,A338,,R,3
293,-79.2480484,43.11953172,A323,,R,3
294,-79.24796056,43.11947121,A339J,,R,3
295,-79.24827486,43.11957987,A312,,R,3
296,-79.24825969,43.11956854,A314,,R,3
297,-79.24821066,43.11953223,A315,,R,3
298,-79.24815457,43.11949232,A319,,R,3
299,-79.24807979,43.11943671,A325,,R,3
300,-79.24805651,43.11941997,A327,,R,3
301,-79.24803288,43.11940452,A329,,R,3
302,-79.24798561,43.11938959,A334,,R,3
303,-79.24828862,43.11957343,A311,,R,3
304,-79.24826216,43.11955515,A313,,R,3
305,-79.24824417,43.11954099,A316,,R,3
306,-79.24822018,43.11952348,A317,,R,3
307,-79.24819584,43.11950571,A318,,R,3
308,-79.24817503,43.11949104,A320,,R,3
309,-79.24815387,43.11947584,A321,,R,3
310,-79.24812988,43.11945885,A322,,R,3
311,-79.24811013,43.11944443,A324,,R,3
312,-79.24808543,43.11942615,A326,,R,3
313,-79.2480618,43.1194089,A328,,R,3
314,-79.24804099,43.11939319,A330,,R,3
315,-79.24802194,43.11937929,A331,,R,3
316,-79.24800042,43.11937208,A332,,R,3
317,-79.24794398,43.11937105,A335,,R,3
318,-79.24789107,43.11937337,A336,,R,3
319,-79.24767687,43.11933445,B336,,R,3
320,-79.24765339,43.11931665,B335,,R,3
321,-79.2476333,43.11930165,B333,,R,3
322,-79.24758665,43.11926754,B332,,R,3
323,-79.24756442,43.11925235,B331,,R,3
324,-79.24754255,43.11923458,B330,,R,3
325,-79.24751963,43.11921991,B329,,R,3
326,-79.24749564,43.11920523,B328,,R,3
327,-79.24747518,43.11918566,B327,,R,3
328,-79.24746177,43.11917974,B326,,R,3
329,-79.24744872,43.11918695,B325,,R,3
330,-79.24756301,43.11926934,B322A,,R,3
331,-79.24752386,43.1192387,B322,,R,3
332,-79.24742756,43.1192042,B324,,R,3
333,-79.24740392,43.11922171,B323,,R,3
334,-79.24738276,43.11923639,B321,,R,3
335,-79.24736054,43.11925389,B320,,R,3
336,-79.24733725,43.11926883,B319,,R,3
337,-79.24731644,43.11928531,B317,,R,3
338,-79.24729457,43.11930359,B316,,R,3
339,-79.24727588,43.11931878,B315,,R,3
340,-79.24725048,43.11933577,B314,,R,3
